days,date_2019,speed_2019,travel_time_2019,date_2020,speed_2020,travel_time_2020
32,2019-04-05 00:00:00,31.751194701646092,232.97826646090536,2020-04-04 00:00:00,45.4562512490008,162.87687350119904
33,2019-04-06 00:00:00,34.1264230749097,211.99610008899126,2020-04-05 00:00:00,45.74330710431655,163.37509992006395
34,2019-04-07 00:00:00,34.735404835390945,189.82507716049383,2020-04-06 00:00:00,45.16679517709874,146.17466723485325
35,2019-04-08 00:00:00,32.71187422839506,210.43886316872428,2020-04-07 00:00:00,45.86119704236611,141.06517286171064
36,2019-04-09 00:00:00,33.01397350823045,210.01579218106997,2020-04-08 00:00:00,45.50437824740208,144.3714778177458
37,2019-04-10 00:00:00,32.80873934778667,219.59696428108893,2020-04-09 00:00:00,45.796083383293364,141.00696942446044
38,2019-04-11 00:00:00,33.435279063786005,212.97052469135804,2020-04-10 00:00:00,45.73176396861605,145.05795502970446
39,2019-04-12 00:00:00,31.512513374485597,216.7533693415638,2020-04-11 00:00:00,46.41454193288725,143.70712381144037
40,2019-04-13 00:00:00,33.725241388241386,208.7860657860658,2020-04-12 00:00:00,47.01544381219763,140.08928884766752
41,2019-04-14 00:00:00,36.73154089506173,190.52348251028806,2020-04-13 00:00:00,42.952113041289024,151.26017119838872
42,2019-04-15 00:00:00,32.35995689766421,229.47812620983353,2020-04-14 00:00:00,44.50463248384963,145.84103972735133
43,2019-04-16 00:00:00,32.968241769547326,232.2909465020576,2020-04-15 00:00:00,43.3972901459854,149.494449513382
44,2019-04-17 00:00:00,33.7838376564718,232.64715447154472,2020-04-16 00:00:00,44.72923766015007,146.11650758001122
45,2019-04-18 00:00:00,33.092641975308645,240.2364197530864,2020-04-17 00:00:00,44.01627941401664,152.6966974631208
46,2019-04-19 00:00:00,35.62319576719577,209.50842689379274,2020-04-18 00:00:00,44.34574766828872,148.34572688564478
47,2019-04-20 00:00:00,36.57601234567901,194.59490740740742,2020-04-19 00:00:00,46.23375481549067,137.90381690997566
48,2019-04-21 00:00:00,37.30778215020576,192.16779835390946,2020-04-20 00:00:00,44.58123270889694,151.77984788933693
49,2019-04-22 00:00:00,33.99132384856523,226.00889531924014,2020-04-21 00:00:00,43.32151766466306,159.48205635445993
50,2019-04-23 00:00:00,35.2936753698093,214.56331313491356,2020-04-22 00:00:00,42.387208219944554,167.08893918970472
51,2019-04-24 00:00:00,33.20792493164305,221.90310713397963,2020-04-23 00:00:00,44.255441251013785,147.79440389294405
52,2019-04-25 00:00:00,30.56789417989418,256.3082621082621,2020-04-24 00:00:00,42.7471998826903,149.98826903023982
53,2019-04-26 00:00:00,33.350763117283954,225.8863683127572,2020-04-25 00:00:00,45.08590987429035,152.0415906326034
54,2019-04-27 00:00:00,37.069326565143825,195.89576988155667,2020-04-26 00:00:00,45.034801895249075,146.50065309258548
55,2019-04-28 00:00:00,38.0937338531514,191.0622482131254,2020-04-27 00:00:00,43.95172936552498,146.67724975754172
56,2019-04-29 00:00:00,35.73749696735062,214.28357207381598,2020-04-28 00:00:00,43.35071488316169,151.43739871399447
57,2019-04-30 00:00:00,33.964444444444446,218.08865660085172,2020-04-29 00:00:00,44.47261854933388,153.57125720994335
58,2019-05-01 00:00:00,33.85315860110982,226.88093947606143,2020-04-30 00:00:00,42.30088794980151,160.2739915482136
